iter	Passed	Remaining
0	14	73238
1	28	71672
2	42	71048
3	56	70600
4	70	70161
5	84	70331
6	98	70008
7	111	69855
8	126	70096
9	139	69717
10	153	69426
11	167	69492
12	180	69229
13	194	69217
14	208	69441
15	222	69279
16	236	69206
17	250	69199
18	264	69322
19	277	69126
20	290	68971
21	304	68906
22	318	68857
23	333	69116
24	348	69434
25	362	69439
26	377	69597
27	392	69652
28	405	69552
29	419	69547
30	432	69400
31	446	69388
32	460	69281
33	473	69182
34	487	69105
35	500	68998
36	514	68946
37	527	68837
38	540	68785
39	554	68699
40	567	68619
41	580	68529
42	593	68470
43	607	68437
44	620	68352
45	634	68311
46	648	68309
47	661	68258
48	674	68167
49	688	68124
50	701	68079
51	714	68030
52	728	67965
53	741	67903
54	754	67834
55	767	67793
56	781	67751
57	794	67726
58	807	67657
59	820	67594
60	834	67530
61	847	67492
62	862	67561
63	875	67558
64	889	67550
65	902	67495
66	915	67430
67	928	67375
68	941	67297
69	954	67234
70	967	67162
71	980	67135
72	994	67110
73	1009	67225
74	1023	67214
75	1037	67197
76	1050	67192
77	1064	67142
78	1077	67089
79	1090	67066
80	1104	67045
81	1117	67022
82	1131	67026
83	1144	66990
84	1157	66937
85	1172	66968
86	1187	67067
87	1203	67173
88	1218	67246
89	1234	67371
90	1248	67375
91	1263	67422
92	1278	67484
93	1294	67583
94	1310	67659
95	1326	67762
96	1341	67820
97	1357	67885
98	1373	67996
99	1389	68074
100	1403	68099
101	1419	68145
102	1434	68206
103	1449	68222
104	1462	68176
105	1475	68124
106	1488	68049
107	1501	67990
108	1514	67944
109	1526	67879
110	1540	67843
111	1553	67809
112	1566	67767
113	1583	67858
114	1597	67871
115	1613	67935
116	1628	67970
117	1643	67979
118	1658	68027
119	1673	68050
120	1688	68094
121	1703	68130
122	1719	68190
123	1734	68203
124	1750	68253
125	1766	68316
126	1781	68343
127	1794	68292
128	1807	68235
129	1820	68191
130	1834	68184
131	1848	68162
132	1861	68111
133	1874	68073
134	1887	68026
135	1902	68025
136	1914	67968
137	1928	67934
138	1941	67895
139	1954	67861
140	1968	67827
141	1981	67772
142	1994	67741
143	2008	67722
144	2021	67693
145	2035	67672
146	2047	67606
147	2061	67587
148	2075	67579
149	2089	67550
150	2102	67527
151	2115	67488
152	2129	67468
153	2142	67415
154	2155	67390
155	2169	67355
156	2183	67369
157	2197	67350
158	2211	67320
159	2224	67284
160	2238	67266
161	2251	67230
162	2265	67215
